upc,sku,price
773394510643,V2UNNEW1,12.03
834736855851,KXEK6TPC,15.8
847674173892,YPU4EUJ3,5.72
419825791195,CLUUCFUA,28.23
836974885118,4NU0DOU6,15.04
567656184039,1L531JJT,5.69
007244450987,74VDLGCC,9.18
009899309078,6VG7E5RB,18.62
322392417010,LUJHXUJS,3.18
013364693885,5QH8LINC,7.91
072942685861,1UDG233P,15.6
204048836728,18ZAEDRK,4.28
671101151526,1ZYE5UAL,9.56
166259088281,3T3ACODW,9.0
974089983019,38I7AH0G,2.67
100938413665,CKEWUABL,1.86
053177328885,XOIVI7BW,6.78
472875624394,WSY1WJ2L,0.91
803588542029,FVLNCW7N,53.08
271483691288,VAQBQ871,1.7
